"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",19,"2021-08-29",845.163279514444,-17.4895967489167,2.00909768885556,-39.8683877627778,"TP",1,"BDA"
"2",20,"2021-08-29",1134.05839965556,-20.6947186167222,1.93021070226667,-37.7793971628889,"TP",1,"BDA"
"3",21,"2021-08-29",1390.10658398889,-21.8810645711389,1.84699190195556,-45.224712479,"TP",1,"BDA"
"4",22,"2021-08-29",759.084870651111,-16.5068010114722,2.15687692322222,-47.0198453414444,"TP",2,"BDA"
"5",23,"2021-08-29",1115.34210692222,-20.0701093915278,2.1611201432,-48.0827905106667,"TP",2,"BDA"
"6",24,"2021-08-29",1406.05243048889,-20.2159096923611,2.17123932018889,-50.4245353904444,"TP",2,"BDA"
"7",25,"2021-08-29",905.39802165,-18.4505121130833,1.94014194852222,-43.8537465458889,"TP",3,"BDA"
"8",26,"2021-08-29",1629.49759071111,-22.2246331332778,1.85691844734444,-46.0892755101111,"TP",3,"BDA"
"9",27,"2021-08-29",2303.57386078889,-23.7877584325833,1.7832669181,-45.4220312273333,"TP",3,"BDA"
"10",28,"2021-08-29",839.592298911111,-18.2334535421111,1.86773683101111,-44.3158763342222,"TP",4,"BDA"
"11",29,"2021-08-29",1445.70741448889,-21.6464887185833,1.78044868802222,-42.7139755871111,"TP",4,"BDA"
"12",30,"2021-08-29",1898.18980158889,-21.5512785609444,1.71014710978889,-39.2363876356667,"TP",4,"BDA"
"13",31,"2021-08-29",752.556786013333,-16.9367499834167,2.49497593621111,-54.388869599,"TP",5,"BDA"
"14",32,"2021-08-29",1200.5551671,-19.7007002661389,3.73024117854444,-62.5390042363333,"TP",5,"BDA"
"15",33,"2021-08-29",1450.38270737778,-17.6666477075278,5.11453253093333,-67.9400574367778,"TP",5,"BDA"
"16",34,"2021-08-29",797.211768106667,-17.6491595635,2.38844824128889,-47.1809270017778,"TP",6,"BDA"
"17",35,"2021-08-29",1064.95889927778,-18.3185175312222,2.32668665973333,-48.3220612916667,"TP",6,"BDA"
"18",36,"2021-08-29",1262.95636691111,-16.8156072476667,2.2620227853,-48.0949888332222,"TP",6,"BDA"
"19",37,"2021-08-29",569.764422835556,-13.9666360013611,1.91637884647778,-40.1724932412222,"TP",7,"REF"
"20",38,"2021-08-29",1008.50723803333,-18.7747927032222,1.8989636164,-44.5321269857778,"TP",7,"REF"
"21",39,"2021-08-29",1389.05789851111,-18.9383678715833,1.87853545493333,-44.4198560627778,"TP",7,"REF"
"22",40,"2021-08-29",631.300347014444,-15.5543084552222,2.04911600375556,-45.1184191117778,"TP",8,"REF"
"23",41,"2021-08-29",1052.98473317778,-20.2943672088333,2.36775035868889,-50.1194194271111,"TP",8,"REF"
"24",42,"2021-08-29",1530.94182027778,-22.8397022135278,2.76676393414444,-53.0630024147778,"TP",8,"REF"
"25",43,"2021-08-29",694.403416364444,-16.5121395554167,1.98198015767778,-41.8795046874444,"TP",9,"REF"
"26",44,"2021-08-29",977.537484526667,-19.4215444021667,2.11717242652222,-48.1850729744444,"TP",9,"REF"
"27",45,"2021-08-29",1359.65417474444,-21.8762559696111,2.2987194603,-44.7179660602222,"TP",9,"REF"
"28",46,"2021-08-29",635.463323777778,-14.5598271461944,1.9197382426,-45.749227419,"TP",10,"REF"
"29",47,"2021-08-29",1051.39495734444,-17.9964927529444,1.9118066941,-42.7167703474444,"TP",10,"REF"
"30",48,"2021-08-29",1586.56680178889,-20.3638300047222,1.89509358083333,-45.2236589823333,"TP",10,"REF"
"31",49,"2021-08-29",677.118447335556,-15.2442783464444,1.90302677171111,-45.7089435878889,"TP",11,"REF"
"32",50,"2021-08-29",1193.33940875556,-19.5613730116389,1.89808328178889,-36.9707083267778,"TP",11,"REF"
"33",51,"2021-08-29",1703.57114817778,-20.3808955463333,1.87136348486667,-43.8243878668889,"TP",11,"REF"
"34",52,"2021-08-29",784.334649644444,-17.5080047493611,1.90511178254444,-37.724656703,"TP",12,"REF"
"35",53,"2021-08-29",1271.08035895556,-20.9624472239722,1.86290869173333,-45.6854854383333,"TP",12,"REF"
"36",54,"2021-08-29",1806.68923187778,-22.6130648634444,1.83710884442222,-41.0793869416667,"TP",12,"REF"
